0.1 0 0 0 0 0
100 0.07 0.08 0.0751 0.3 0.165556
1000 0.102 0.099 0.088596 0.02 0.0156
10000 0.0964 0.0996 0.090307 0.036 0.0034116
100000 0.1009 0.09888 0.0886992 0.00899998 0.0144534
1e+06 0.100211 0.100188 0.0901458 0.00210999 0.00161955
1e+07 0.100061 0.100023 0.0900106 0.000608985 0.000118002
0.5 0 0 0 0 0
100 0.45 0.48 0.2775 0.1 0.11
1000 0.491 0.5 0.258919 0.018 0.035676
10000 0.4946 0.5009 0.256271 0.0108 0.0250834
100000 0.50074 0.50061 0.249869 0.00148 0.00052219
1e+06 0.500713 0.499518 0.248804 0.001426 0.00478203
1e+07 0.500181 0.499801 0.24962 0.0003618 0.00151933
0.7 0 0 0 0 0
100 0.69 0.69 0.2139 0.0142857 0.0185714
1000 0.705 0.708 0.210975 0.00714287 0.00464282
10000 0.6996 0.7018 0.21236 0.000571412 0.0112373
100000 0.70041 0.70077 0.210196 0.000585731 0.000932493
1e+06 0.700514 0.700501 0.209781 0.000734303 0.00104225
1e+07 0.70005 0.700169 0.2101 7.11599e-05 0.000474615
