2 6.00797 60.4159 0.011581 0.107615 1.79121
3 6.01635 60.2878 0.00127467 0.0357025 0.593425
4 6.00721 60.1535 0.000127338 0.0112844 0.187848
5 5.99739 60.0551 1.27468e-05 0.00357027 0.0595303
2 1.45334 7.91935 0.0580715 0.24098 16.5811
3 1.47523 7.93493 0.00822661 0.0907006 6.14824
4 1.46724 7.78591 0.000840765 0.0289959 1.97623
5 1.47255 7.87064 8.57479e-05 0.00926002 0.628842
2 0.245741 0.177752 2.66734e-05 0.00516463 2.10166
3 0.24443 0.176827 3.22538e-06 0.00179593 0.734744
4 0.247104 0.177098 3.19751e-07 0.000565466 0.228837
5 0.246116 0.176231 3.18767e-08 0.00017854 0.0725433
