   3.00000E-02   9.91667E+04   3.98133E-16   2.98907E+02   8.33995E+00  -6.37920E+05   5.32785E-22
   9.00000E-02   9.94000E+04   4.03386E-16   3.01125E+02   9.85624E+00   9.23118E+04   5.35839E-22
   1.50000E-01   9.96500E+04   3.99800E-16   2.97243E+02   1.61451E+00  -5.26331E+04   5.38011E-22
   2.10000E-01   9.81667E+04   3.87003E-16   2.93545E+02   6.38821E+00  -5.58718E+05   5.27351E-22
   2.70000E-01   1.00050E+05   4.07674E-16   3.04167E+02   1.97419E+00  -2.94117E+05   5.36119E-22
   3.30000E-01   9.88833E+04   3.93635E-16   2.98007E+02   1.11189E+01  -9.58278E+05   5.28358E-22
   3.90000E-01   1.01250E+05   4.16161E-16   3.03944E+02   4.54565E+00   3.00890E+04   5.47682E-22
   4.50000E-01   9.94000E+04   4.01937E-16   3.02229E+02   9.79091E+00  -7.00875E+04   5.31963E-22
   5.10000E-01   1.01283E+05   4.08835E-16   2.99232E+02   6.86175E+00  -3.41247E+05   5.46511E-22
   5.70000E-01   1.01383E+05   4.06749E-16   2.99215E+02   2.98240E+00  -1.32274E+05   5.43754E-22
   6.30000E-01   9.82167E+04   3.91889E-16   2.96581E+02   2.35633E+00   8.87632E+04   5.28541E-22
   6.90000E-01   1.00217E+05   4.08693E-16   3.02544E+02   3.54784E+00  -8.08948E+04   5.40341E-22
   7.50000E-01   1.00250E+05   4.09536E-16   3.02373E+02   5.56775E+00   5.07622E+05   5.41762E-22
   8.10000E-01   1.00617E+05   4.05547E-16   2.99131E+02   3.39035E+00   1.62871E+05   5.42301E-22
   8.70000E-01   1.02533E+05   4.23216E-16   3.07620E+02   5.86438E+00  -2.92250E+04   5.50310E-22
   9.30000E-01   9.86833E+04   3.96355E-16   2.98675E+02   5.89611E+00   4.85342E+05   5.30818E-22
   9.90000E-01   1.01275E+05   4.03389E-16   2.97300E+02   6.17551E+00   4.82093E+05   5.42738E-22
