2 16.3955 0.18343
6 39.2356 0.557258
10 50.5523 0.43608
14 56.0211 0.622747
18 61.7308 0.55056
22 66.6224 0.422281
26 69.2215 0.353214
30 72.2225 0.457883
34 76.7019 0.980925
38 77.2668 1.25959
42 78.0106 1.49659
46 78.8204 2.0532
50 82.871 1.08053
54 84.7439 1.06132
58 84.2822 0.494288
62 83.7145 1.01581
66 83.5685 0.451269
70 82.6322 1.20923
74 83.5014 0.590413
78 85.802 0.778993
82 86.2918 1.08009
86 87.7509 0.910056
90 87.6874 1.07551
94 88.8798 0.941036
98 90.4506 1.3046
102 91.1617 1.12613
106 92.8525 0.871265
110 91.4777 1.36418
114 89.5876 1.05771
118 90.0709 0.772917
122 87.7261 0.87143
126 86.3764 1.29117
130 86.4152 1.06974
134 89.5425 1.16383
138 91.2857 0.64636
142 92.8887 1.27729
146 94.0142 1.00615
150 94.3425 1.02445
154 94.9589 0.731431
158 100.982 0.826693
162 100.513 1.19438
166 102.426 1.04729
170 102.676 1.16586
174 100.814 1.36446
178 102.006 1.62537
182 99.8276 1.5046
186 99.4942 1.00312
190 97.4773 0.521457
194 95.0641 0.818103
198 95.3289 1.08751
