60

C 3.34068 0.00355857 -1.42645
C -2.49679 0.138424 2.63562
C -0.262573 2.4836 -2.64123
C 3.41107 -0.985102 0.930322
C -2.9971 1.76891 1.03662
C 0.420852 -3.55172 -0.749499
C -1.58024 2.56601 -2.01046
C -0.132837 -2.3289 -2.78983
C 0.635221 2.19444 2.84799
C -3.28871 0.966897 -1.21214
C -2.94457 2.09916 -0.31734
C -1.93003 -1.1449 2.82436
C -2.73802 -1.39086 -1.95991
C 2.51931 2.58674 -0.232215
C -2.90436 -1.97959 0.926682
C 5.81243e-33 3.17607e-53 3.55471
C -0.479585 1.22023 -3.36934
C 1.74999 1.33501 2.91681
C 3.253 1.48651 0.47858
C -0.461622 1.32923 3.27816
C 0.786346 3.08778 -1.82654
C -1.93576 -0.722296 -2.952
C -2.06846 -2.58775 -1.47091
C 1.5888 -2.87459 -1.44869
C -0.618188 -3.03809 1.80675
C 3.59278 7.18884e-07 -0.0673905
C -1.80755 1.38376 2.85666
C 0.107756 -2.29088 2.82724
C 1.38095 3.25327 0.479549
C 0.29491 1.5346e-07 -3.52667
C 1.28112 -2.108 -2.64306
C -1.99901 2.40832 1.84369
C -3.44583 -0.428263 -0.96629
C 0.43007 -3.52046 0.760483
C 0.572213 3.10767 1.71402
C 2.5987 -2.46571 -0.59985
C -2.46148 1.47671 -2.22104
C 2.83709 1.35242 1.87711
C -3.54977 -0.698895 0.490219
C -1.93891 -2.32745 1.94251
C 2.77751 -2.21846 0.717872
C 2.54675 8.54886e-05 -2.55891
C -0.850143 3.53891 0.0101836
C 1.68829 -2.91895 1.371
C 1.53103 -0.782623 -3.1606
C -0.615164 -1.16086 -3.38398
C -0.636568 -1.23221 3.38555
C 2.15972 -0.912338 2.72573
C -0.687473 -3.1076 -1.74692
C -1.93363 3.01573 -0.723304
C -0.887109 3.15537 1.39533
C -2.40027 -2.67091 -0.147129
C 1.3927 9.43933e-14 3.4025
C 2.33156 1.41589 -2.49786
C -1.77442 0.670192 -3.06236
C 2.11442 2.47578 -1.62859
C -3.28531 0.363923 1.45597
C 2.98688 1.25475e-08 1.95427
C 0.426111 3.6333 -0.583737
C 1.53235 -2.1414 2.56801
